Date,TP,Consumption(kWh),SolarGen(kWh),CI(g/kWh),CE_with_solar(kg),CE_without_solar(kg)
2022-01-01,00:00,85.056,0.0,54.625,4.646,4.646
2022-01-01,00:30,85.44,0.0,56.765,4.85,4.85
2022-01-01,01:00,85.32,0.0,57.704,4.923,4.923
2022-01-01,01:30,84.984,0.0,59.396,5.048,5.048
2022-01-01,02:00,85.248,0.0,60.893,5.191,5.191
2022-01-01,02:30,84.792,0.0,63.122,5.352,5.352
2022-01-01,03:00,85.296,0.0,62.142,5.3,5.3
2022-01-01,03:30,84.768,0.0,63.063,5.346,5.346
2022-01-01,04:00,85.128,0.0,64.052,5.453,5.453
2022-01-01,04:30,84.72,0.0,64.02,5.424,5.424
2022-01-01,05:00,85.056,0.0,60.986,5.187,5.187
2022-01-01,05:30,84.432,0.0,58.399,4.931,4.931
2022-01-01,06:00,84.768,0.765,57.396,4.821,4.865
2022-01-01,06:30,84.456,0.765,56.946,4.766,4.809
2022-01-01,07:00,84.744,4.195,55.506,4.471,4.704
2022-01-01,07:30,84.984,4.195,53.181,4.296,4.52
2022-01-01,08:00,84.912,9.185,52.31,3.961,4.442
2022-01-01,08:30,85.512,9.185,49.592,3.785,4.241
2022-01-01,09:00,85.272,14.67,47.127,3.327,4.019
2022-01-01,09:30,84.096,14.67,46.227,3.209,3.887
2022-01-01,10:00,85.968,19.31,46.959,3.13,4.037
2022-01-01,10:30,85.968,19.31,46.691,3.112,4.014
2022-01-01,11:00,85.776,22.11,46.267,2.946,3.969
2022-01-01,11:30,86.544,22.11,46.302,2.983,4.007
2022-01-01,12:00,85.536,21.67,46.426,2.965,3.971
2022-01-01,12:30,85.512,21.67,46.227,2.951,3.953
2022-01-01,13:00,86.424,22.055,46.959,3.023,4.058
2022-01-01,13:30,85.584,22.055,50.966,3.238,4.362
2022-01-01,14:00,85.728,21.785,51.136,3.27,4.384
2022-01-01,14:30,86.112,21.785,47.558,3.059,4.095
2022-01-01,15:00,85.656,20.135,47.29,3.098,4.051
2022-01-01,15:30,86.016,20.135,46.679,3.075,4.015
2022-01-01,16:00,85.776,18.115,46.253,3.13,3.967
2022-01-01,16:30,86.448,18.115,48.162,3.291,4.164
2022-01-01,17:00,85.776,13.61,46.892,3.384,4.022
2022-01-01,17:30,85.968,13.61,45.921,3.323,3.948
2022-01-01,18:00,85.944,9.065,45.429,3.493,3.904
2022-01-01,18:30,85.248,9.065,46.57,3.548,3.97
2022-01-01,19:00,86.496,4.245,47.776,3.93,4.132
2022-01-01,19:30,85.56,4.245,47.447,3.858,4.06
2022-01-01,20:00,85.8,0.855,47.718,4.053,4.094
2022-01-01,20:30,85.152,0.855,49.412,4.165,4.208
2022-01-01,21:00,84.84,0.0,49.159,4.171,4.171
2022-01-01,21:30,85.248,0.0,50.213,4.281,4.281
2022-01-01,22:00,85.224,0.0,51.019,4.348,4.348
2022-01-01,22:30,85.056,0.0,50.638,4.307,4.307
2022-01-01,23:00,85.56,0.0,52.596,4.5,4.5
2022-01-01,23:30,84.528,0.0,53.607,4.531,4.531
2022-01-02,00:00,85.08,0.0,55.429,4.716,4.716
2022-01-02,00:30,84.816,0.0,58.282,4.943,4.943
2022-01-02,01:00,85.248,0.0,60.651,5.17,5.17
2022-01-02,01:30,85.056,0.0,61.594,5.239,5.239
2022-01-02,02:00,84.696,0.0,63.237,5.356,5.356
2022-01-02,02:30,84.984,0.0,63.465,5.394,5.394
2022-01-02,03:00,85.224,0.0,64.126,5.465,5.465
2022-01-02,03:30,85.728,0.0,63.988,5.486,5.486
2022-01-02,04:00,85.056,0.0,63.431,5.395,5.395
2022-01-02,04:30,85.632,0.0,62.691,5.368,5.368
2022-01-02,05:00,85.392,0.0,61.328,5.237,5.237
2022-01-02,05:30,85.248,0.0,59.966,5.112,5.112
2022-01-02,06:00,85.608,0.645,58.549,4.974,5.012
2022-01-02,06:30,84.96,0.645,57.047,4.81,4.847
2022-01-02,07:00,85.44,1.83,55.248,4.619,4.72
2022-01-02,07:30,85.296,1.83,52.832,4.41,4.506
2022-01-02,08:00,85.536,4.36,50.615,4.109,4.329
2022-01-02,08:30,85.536,4.36,48.051,3.901,4.11
2022-01-02,09:00,85.416,5.395,47.499,3.801,4.057
2022-01-02,09:30,85.44,5.395,46.243,3.701,3.951
2022-01-02,10:00,85.512,7.53,46.417,3.62,3.969
2022-01-02,10:30,85.896,7.53,45.618,3.575,3.918
2022-01-02,11:00,85.536,9.685,46.163,3.502,3.949
2022-01-02,11:30,85.92,9.685,47.002,3.583,4.038
2022-01-02,12:00,85.44,10.29,45.804,3.442,3.914
2022-01-02,12:30,85.992,10.29,46.966,3.555,4.039
2022-01-02,13:00,86.4,13.66,46.954,3.415,4.057
2022-01-02,13:30,86.16,13.66,47.309,3.43,4.076
2022-01-02,14:00,86.592,10.5,46.182,3.514,3.999
2022-01-02,14:30,86.904,10.5,46.066,3.52,4.003
2022-01-02,15:00,86.568,9.55,46.053,3.547,3.987
2022-01-02,15:30,86.304,9.55,45.24,3.472,3.904
2022-01-02,16:00,86.808,7.94,45.043,3.552,3.91
2022-01-02,16:30,86.64,7.94,47.985,3.776,4.157
2022-01-02,17:00,86.976,5.625,47.743,3.884,4.153
2022-01-02,17:30,86.784,5.625,47.662,3.868,4.136
2022-01-02,18:00,86.328,3.17,49.586,4.123,4.281
2022-01-02,18:30,86.736,3.17,53.308,4.455,4.624
2022-01-02,19:00,86.592,0.915,52.268,4.478,4.526
2022-01-02,19:30,86.664,0.915,49.437,4.239,4.284
2022-01-02,20:00,86.592,0.2,52.918,4.572,4.582
2022-01-02,20:30,85.704,0.2,49.925,4.269,4.279
2022-01-02,21:00,87.744,0.0,50.604,4.44,4.44
2022-01-02,21:30,86.52,0.0,51.231,4.433,4.433
2022-01-02,22:00,87.168,0.0,52.716,4.595,4.595
2022-01-02,22:30,86.664,0.0,54.37,4.712,4.712
2022-01-02,23:00,86.328,0.0,53.433,4.613,4.613
2022-01-02,23:30,86.208,0.0,54.455,4.694,4.694
2022-01-03,00:00,86.664,0.0,55.06,4.772,4.772
2022-01-03,00:30,87.12,0.0,57.503,5.01,5.01
2022-01-03,01:00,85.392,0.0,59.718,5.099,5.099
2022-01-03,01:30,86.328,0.0,60.159,5.193,5.193
2022-01-03,02:00,86.328,0.0,61.193,5.283,5.283
2022-01-03,02:30,86.616,0.0,62.443,5.409,5.409
2022-01-03,03:00,85.824,0.0,62.584,5.371,5.371
2022-01-03,03:30,85.896,0.0,63.248,5.433,5.433
2022-01-03,04:00,85.632,0.0,62.849,5.382,5.382
2022-01-03,04:30,86.4,0.0,62.603,5.409,5.409
2022-01-03,05:00,85.656,0.0,60.993,5.224,5.224
2022-01-03,05:30,85.944,0.0,58.897,5.062,5.062
2022-01-03,06:00,85.776,0.15,57.256,4.903,4.911
2022-01-03,06:30,85.08,0.15,55.57,4.72,4.728
2022-01-03,07:00,85.992,3.55,54.226,4.471,4.663
2022-01-03,07:30,85.776,3.55,51.304,4.219,4.401
2022-01-03,08:00,85.8,6.945,50.234,3.961,4.31
2022-01-03,08:30,86.04,6.945,52.396,4.144,4.508
2022-01-03,09:00,86.52,6.23,56.151,4.508,4.858
2022-01-03,09:30,86.856,6.23,55.522,4.477,4.822
2022-01-03,10:00,86.712,6.835,56.304,4.497,4.882
2022-01-03,10:30,86.928,6.835,55.268,4.427,4.804
2022-01-03,11:00,87.288,9.855,54.285,4.203,4.738
2022-01-03,11:30,87.288,9.855,56.728,4.393,4.952
2022-01-03,12:00,87.192,20.58,57.665,3.841,5.028
2022-01-03,12:30,87.336,20.58,56.215,3.753,4.91
2022-01-03,13:00,87.576,24.955,56.083,3.512,4.912
2022-01-03,13:30,87.72,24.955,57.453,3.606,5.04
2022-01-03,14:00,87.912,24.955,55.83,3.515,4.908
2022-01-03,14:30,87.816,24.955,56.777,3.569,4.986
2022-01-03,15:00,87.312,15.175,58.861,4.246,5.139
2022-01-03,15:30,87.888,15.175,58.537,4.256,5.145
2022-01-03,16:00,89.232,8.0,58.305,4.736,5.203
2022-01-03,16:30,87.96,8.0,57.448,4.594,5.053
2022-01-03,17:00,88.296,1.455,59.212,5.142,5.228
2022-01-03,17:30,87.72,1.455,60.282,5.2,5.288
2022-01-03,18:00,88.776,3.75,61.188,5.203,5.432
2022-01-03,18:30,88.224,3.75,61.833,5.223,5.455
2022-01-03,19:00,87.384,3.235,62.856,5.289,5.493
2022-01-03,19:30,87.168,3.235,62.9,5.279,5.483
2022-01-03,20:00,86.712,0.82,63.413,5.447,5.499
2022-01-03,20:30,86.928,0.82,62.302,5.365,5.416
2022-01-03,21:00,87.264,0.0,61.223,5.343,5.343
2022-01-03,21:30,86.52,0.0,59.54,5.151,5.151
2022-01-03,22:00,86.832,0.0,60.509,5.254,5.254
2022-01-03,22:30,86.616,0.0,60.871,5.272,5.272
2022-01-03,23:00,86.424,0.0,58.471,5.053,5.053
2022-01-03,23:30,86.4,0.0,61.247,5.292,5.292
2022-01-04,00:00,86.376,0.0,57.624,4.977,4.977
2022-01-04,00:30,86.184,0.0,57.589,4.963,4.963
2022-01-04,01:00,86.256,0.0,61.179,5.277,5.277
2022-01-04,01:30,86.304,0.0,61.073,5.271,5.271
2022-01-04,02:00,86.136,0.0,61.72,5.316,5.316
2022-01-04,02:30,86.472,0.0,62.257,5.383,5.383
2022-01-04,03:00,85.896,0.0,62.552,5.373,5.373
2022-01-04,03:30,86.088,0.0,63.35,5.454,5.454
2022-01-04,04:00,86.136,0.0,63.774,5.493,5.493
